[2025-05-02 17:58:21,052: INFO: main: welcome to my log]
[2025-05-02 21:55:09,195: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-05-02 21:55:09,226: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-05-02 21:55:09,232: INFO: comman: created directory at: artifacts]
[2025-05-02 21:55:09,236: INFO: comman: created directory at: artifacts/data_ingestion]
[2025-05-02 21:55:09,240: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-02 21:56:57,626: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-06 15:35:32,897: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-05-06 15:35:32,903: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-05-06 15:35:32,904: INFO: comman: created directory at: artifacts]
[2025-05-06 15:35:32,904: INFO: comman: created directory at: artifacts/data_ingestion]
[2025-05-06 15:35:32,905: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-06 15:37:26,730: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
